Date,Total Transaction #,Total Transaction Fee (USD),Fee per Transaction (USD),Close Price (USD),Fee %
8/22/13,62772,4111.879123,0.065504988,122,0.0537%
8/21/13,63416,3747.089579,0.059087448,123.3,0.0479%
8/20/13,66539,4788.682235,0.071968052,121.2,0.0594%
8/19/13,69938,3859.74137,0.055188043,118.5,0.0466%
8/18/13,53134,4448.640459,0.083724931,113.38,0.0738%
8/17/13,59253,2895.373386,0.048864587,112.75,0.0433%
8/16/13,68301,4492.569707,0.065776046,108.99,0.0604%
8/15/13,59029,6292.384799,0.106598194,109.99,0.0969%
8/14/13,50484,4303.669596,0.085248189,112.56,0.0757%
8/13/13,53484,3171.334142,0.059295007,109.6,0.0541%
8/12/13,45811,2534.918069,0.055334266,106.81,0.0518%
8/11/13,41059,3524.202086,0.085832633,105,0.0817%
8/10/13,52040,3012.433539,0.057886886,103,0.0562%
8/9/13,53241,4690.4461,0.088098385,102.8,0.0857%
8/8/13,57036,5056.357268,0.088652031,103.05,0.0860%
8/7/13,57225,3187.062246,0.05569353,105.99,0.0525%
8/6/13,52260,4332.920186,0.082910834,106.56,0.0778%
8/5/13,47903,2878.623408,0.060092758,106.72,0.0563%
8/4/13,44605,3427.224141,0.076834977,105.12,0.0731%
8/3/13,49065,2908.222038,0.059272843,104.95,0.0565%
8/2/13,53174,4327.114733,0.081376514,104.5,0.0779%
8/1/13,45823,3281.136776,0.071604582,104,0.0689%
7/31/13,51919,4777.683098,0.092021863,106.21,0.0866%
7/30/13,39998,3807.412457,0.095190071,107.96,0.0882%
7/29/13,44260,3119.312792,0.070477017,101.48,0.0694%
7/28/13,33111,1973.202487,0.059593564,98.78,0.0603%
7/27/13,35987,2922.307807,0.081204541,94.4,0.0860%
7/26/13,41428,2198.206502,0.053060889,96.02,0.0553%
7/25/13,42304,3354.297123,0.079290306,96.95,0.0818%
7/24/13,39963,3082.304949,0.077128968,95.09,0.0811%
7/23/13,39644,3044.345369,0.076792084,95.56,0.0804%
7/22/13,37257,2018.704893,0.054183238,91.6,0.0592%
7/21/13,36884,2356.376105,0.063886132,92,0.0694%
7/20/13,33626,1974.316736,0.058713993,89.82,0.0654%
7/19/13,38020,3085.020314,0.081142039,92,0.0882%
7/18/13,41257,2494.506054,0.060462614,90.07,0.0671%
7/17/13,39565,3272.879103,0.082721575,98.5,0.0840%
7/16/13,38784,3299.771836,0.085080751,97.1,0.0876%
7/15/13,36738,2297.010039,0.062524091,98.89,0.0632%
7/14/13,34150,3015.860115,0.088312156,94.42,0.0935%
7/13/13,40313,2412.925156,0.059854765,98.32,0.0609%
7/12/13,50045,3134.510973,0.062633849,93.99,0.0666%
7/11/13,41040,2947.148445,0.071811609,88.98,0.0807%
7/10/13,39340,2063.656043,0.052456941,88,0.0596%
7/9/13,41777,2683.776177,0.064240519,76.7,0.0838%
7/8/13,36912,2440.858527,0.066126423,76,0.0870%
7/7/13,28865,1228.229527,0.042550824,76.5,0.0556%
7/6/13,36979,2201.761033,0.059540848,69.66,0.0855%
7/5/13,36291,2267.168654,0.062471926,68.5,0.0912%
7/4/13,34560,1683.908239,0.048724197,80.04,0.0609%
7/3/13,35351,2442.33732,0.06908821,78.89,0.0876%
7/2/13,43264,3320.244132,0.076743809,90.41,0.0849%
7/1/13,34053,2907.869773,0.08539247,88.05,0.0970%
6/30/13,32994,1918.459591,0.058145711,97.51,0.0596%
6/29/13,38973,2472.609939,0.063444178,95,0.0668%
6/28/13,48324,4570.297945,0.094576151,94.66,0.0999%
6/27/13,46797,3406.04021,0.072783303,101.74,0.0715%
6/26/13,45576,3990.295065,0.087552551,104,0.0842%
6/25/13,45588,3762.167192,0.082525384,103.33,0.0799%
6/24/13,40963,3856.893365,0.094155539,102.09,0.0922%
6/23/13,40634,4376.037108,0.107693978,107.9,0.0998%
6/22/13,42571,4972.789222,0.116811661,108.2,0.1080%
6/21/13,52994,6162.308385,0.116283134,109.5,0.1062%
6/20/13,49440,7009.488378,0.141777678,111.29,0.1274%
6/19/13,46903,3896.850155,0.083083175,108.25,0.0768%
6/18/13,47025,3972.610753,0.084478698,107.35,0.0787%
6/17/13,43399,3523.70961,0.081193336,101.95,0.0796%
6/16/13,40076,2907.46919,0.072548887,99.9,0.0726%
6/15/13,41531,3798.582272,0.091463781,99.8,0.0916%
6/14/13,48124,3816.991619,0.07931576,100,0.0793%
6/13/13,43302,4244.298251,0.098016218,103.95,0.0943%
6/12/13,46417,4702.58515,0.101311699,108.78,0.0931%
6/11/13,51208,5101.88398,0.099630604,109,0.0914%
6/10/13,42406,3589.386601,0.084643367,106.35,0.0796%
6/9/13,46237,3594.324705,0.077736979,100.44,0.0774%
6/8/13,47973,4924.909541,0.102660028,107.89,0.0952%
6/7/13,54331,4465.259233,0.082186215,111,0.0740%
6/6/13,55918,5234.695027,0.093613774,118.97,0.0787%
6/5/13,54947,7420.771855,0.135053267,121.9,0.1108%
6/4/13,60118,7823.585786,0.13013716,121.4,0.1072%
6/3/13,52048,5940.52901,0.114135587,120.74,0.0945%
6/2/13,51011,5385.697394,0.105579138,122.5,0.0862%
6/1/13,52390,5085.54149,0.097070843,129.3,0.0751%
5/31/13,57616,6234.308471,0.108204465,128.82,0.0840%
5/30/13,57170,6119.073085,0.107032938,128.8,0.0831%
5/29/13,54919,6751.570778,0.122936885,132.25,0.0930%
5/28/13,55138,7001.954044,0.126989627,129,0.0984%
5/27/13,52377,6339.191308,0.121030057,129.77,0.0933%
5/26/13,39879,4111.227711,0.103092548,133.5,0.0772%
5/25/13,55836,7428.679623,0.133044624,131.99,0.1008%
5/24/13,55106,5521.447218,0.100196843,133.1,0.0753%
5/23/13,54824,6712.180432,0.122431425,126.3,0.0969%
5/22/13,53981,6754.777825,0.125132506,123.8,0.1011%
5/21/13,54664,5266.629799,0.096345489,122.89,0.0784%
5/20/13,50093,6019.005192,0.120156613,122.02,0.0985%
5/19/13,47090,5108.677025,0.108487514,122.5,0.0886%
5/18/13,51982,4881.912008,0.093915432,123.21,0.0762%
5/17/13,60896,11017.18039,0.180917965,123.5,0.1465%
5/16/13,60543,6660.677173,0.110015645,118.21,0.0931%
5/15/13,66411,5708.958264,0.085964046,114.22,0.0753%
5/14/13,63287,6505.052673,0.102786554,111.4,0.0923%
5/13/13,62190,7060.313958,0.113528123,117.98,0.0962%
5/12/13,69320,6748.702909,0.097355783,114.82,0.0848%
5/11/13,70410,7350.765297,0.10439945,115.64,0.0903%
5/10/13,67937,7082.897062,0.104256842,117.7,0.0886%
5/9/13,66370,7498.410459,0.112978913,112.8,0.1002%
5/8/13,47359,5623.822795,0.118748766,113.2,0.1049%
5/7/13,59215,4811.258523,0.081250672,109.6,0.0741%
5/6/13,51244,6168.377291,0.120372674,112.25,0.1072%
5/5/13,49419,4497.022795,0.090997851,115.98,0.0785%
5/4/13,48349,4787.335273,0.099016221,112.9,0.0877%
5/3/13,55859,4583.708664,0.082058552,98.1,0.0836%
5/2/13,57278,5783.856229,0.100978669,106.25,0.0950%
5/1/13,50437,4462.791424,0.088482492,116.38,0.0760%
4/30/13,48795,7594.463037,0.155640189,139.23,0.1118%
4/29/13,50009,5069.958863,0.101380929,144,0.0704%
4/28/13,40986,4429.251581,0.108067427,134.44,0.0804%
4/27/13,48325,5449.977701,0.112777604,128,0.0881%
4/26/13,56533,6894.922703,0.121962795,136.9,0.0891%
4/25/13,61214,7673.541938,0.125355996,141.71,0.0885%
4/24/13,67982,12199.28397,0.179448736,154.2,0.1164%
4/23/13,57304,5726.535456,0.099932561,143.48,0.0696%
4/22/13,46737,5667.723104,0.121268441,127.4,0.0952%
4/21/13,45154,4212.982721,0.093302536,119.2,0.0783%
4/20/13,48016,5900.576995,0.122887725,126.62,0.0971%
4/19/13,57863,6258.580157,0.108162041,118.48,0.0913%
4/18/13,52605,7333.161601,0.139400468,109.01,0.1279%
4/17/13,56164,4696.402217,0.08361944,93.07,0.0898%
4/16/13,65797,4341.396978,0.065981686,68.36,0.0965%
4/15/13,55211,6973.649065,0.126309052,82.39,0.1533%
4/14/13,53417,4617.505377,0.086442619,90,0.0960%
4/13/13,55361,4865.974705,0.087895354,93,0.0945%
4/12/13,60395,4223.180852,0.069926001,117,0.0598%
4/11/13,67725,7679.265195,0.113388929,124.9,0.0908%
4/10/13,68820,13845.04176,0.20117759,165,0.1219%
4/9/13,61429,10284.65351,0.167423424,230,0.0728%
4/8/13,63470,8951.923041,0.1410418,187.5,0.0752%
4/7/13,58820,8117.329031,0.138002874,162.3,0.0850%
4/6/13,57200,6002.26976,0.104934786,142.63,0.0736%
4/5/13,56063,7572.555749,0.135072254,142.32,0.0949%
4/4/13,69048,10510.40247,0.152218782,132.12,0.1152%
4/3/13,65172,10092.15192,0.154854108,135,0.1147%
4/2/13,60268,6264.56148,0.10394507,117.98,0.0881%
4/1/13,52469,5436.786883,0.10361903,104,0.0996%
3/31/13,44586,5022.028432,0.112636891,93.03,0.1211%
3/30/13,59787,4181.05733,0.069932549,92.19,0.0759%
3/29/13,66205,6794.081481,0.102621879,90.5,0.1134%
3/28/13,57170,4249.31119,0.07432764,86.18,0.0862%
3/27/13,51993,5228.322418,0.100558199,88.92,0.1131%
3/26/13,47247,3429.528859,0.07258723,78.5,0.0925%
3/25/13,51011,3499.614618,0.068605097,73.6,0.0932%
3/24/13,49834,2706.853339,0.054317401,71.5,0.0760%
3/23/13,58002,3906.794414,0.067356202,64.35,0.1047%
3/22/13,60129,4621.23095,0.076855277,69.87,0.1100%
3/21/13,53840,3453.431811,0.064142493,70.85,0.0905%
3/20/13,42579,2165.255379,0.050852659,64.49,0.0789%
3/19/13,48705,3092.336943,0.06349116,59.14,0.1074%
3/18/13,39391,1733.19303,0.043999722,51.6,0.0853%
3/17/13,34164,1471.50932,0.043071927,47.4,0.0909%
3/16/13,43349,1787.679895,0.041239242,47,0.0877%
3/15/13,60064,2961.742531,0.049309778,46.95,0.1050%
3/14/13,58832,2628.212905,0.044673186,47.17,0.0947%
3/13/13,56177,2949.158801,0.05249762,46.92,0.1119%
3/12/13,44410,2267.35785,0.051055119,44.29,0.1153%
3/11/13,67610,2714.001606,0.040142015,48.4,0.0829%
3/10/13,71330,3003.93491,0.042113205,46,0.0916%
3/9/13,47671,1833.139206,0.03845397,46.85,0.0821%
3/8/13,64814,2393.474052,0.03692835,44.18,0.0836%
3/7/13,62423,6735.158241,0.107895459,42,0.2569%
3/6/13,66437,2878.07275,0.04332033,41.02,0.1056%
3/5/13,56039,2048.096778,0.036547704,40.33,0.0906%
3/4/13,64257,1942.186568,0.030225292,36.15,0.0836%
3/3/13,49631,1413.137316,0.028472876,34.5,0.0825%
3/2/13,60659,1862.939394,0.030711673,34.25,0.0897%
3/1/13,65797,2483.687627,0.037747734,34.5,0.1094%
2/28/13,60993,2066.738905,0.033884854,33.38,0.1015%
2/27/13,62952,1634.728738,0.02596786,30.9,0.0840%
2/26/13,62005,1700.799223,0.027430033,31.1,0.0882%
2/25/13,65164,1957.015503,0.030032157,30.4,0.0988%
2/24/13,57795,1404.721623,0.024305245,29.89,0.0813%
2/23/13,59386,1456.651773,0.024528538,29.8,0.0823%
2/22/13,58920,1760.515349,0.029879758,30.25,0.0988%
2/21/13,58996,1412.360595,0.023939938,29.75,0.0805%
2/20/13,57613,1450.565116,0.02517774,29.65,0.0849%
2/19/13,55598,1454.342635,0.026158183,29.42,0.0889%
2/18/13,46318,1048.079739,0.022627914,26.95,0.0840%
2/17/13,50400,1257.421822,0.024948846,26.81,0.0931%
2/16/13,51218,1459.612831,0.028498044,27.22,0.1047%
2/15/13,57505,1440.786377,0.025054976,27.1,0.0925%
2/14/13,53849,1313.141902,0.024385632,27.22,0.0896%
2/13/13,57398,1344.331426,0.023421224,24.2,0.0968%
2/12/13,58851,1252.858754,0.021288657,25.17,0.0846%
2/11/13,58835,1193.513877,0.02028578,24.65,0.0823%
2/10/13,57363,1035.252122,0.018047385,23.97,0.0753%
2/9/13,50847,990.9865329,0.019489577,23.65,0.0824%
2/8/13,65928,1186.634589,0.017998947,22.66,0.0794%
2/7/13,58215,1005.078582,0.017264942,22.15,0.0779%
2/6/13,44783,714.251346,0.015949163,21.18,0.0753%
2/5/13,53445,892.0682643,0.016691332,20.6,0.0810%
2/4/13,57480,996.9146732,0.017343679,20.43,0.0849%
2/3/13,56212,1496.356152,0.02661987,20.59,0.1293%
2/2/13,58834,1156.277011,0.019653211,19.63,0.1001%
2/1/13,56756,1048.156739,0.01846777,20.5,0.0901%
1/31/13,46104,906.7111901,0.019666649,20.41,0.0964%
1/30/13,45810,770.9657837,0.016829639,19.7,0.0854%
1/29/13,53617,1005.482369,0.018753052,19.53,0.0960%
1/28/13,52321,787.1598466,0.015044817,18.72,0.0804%
1/27/13,53451,859.671961,0.016083365,17.82,0.0903%
1/26/13,53420,847.3672513,0.01586236,17.88,0.0887%
1/25/13,46045,755.9034486,0.016416624,17.4,0.0943%
1/24/13,46607,820.9501704,0.017614311,16.9,0.1042%
1/23/13,48267,803.1753922,0.016640259,17.5,0.0951%
1/22/13,40199,525.4509693,0.013071245,17.26,0.0757%
1/21/13,41357,520.0312602,0.012574202,16.8,0.0748%
