time,close,high,low,open,time,volumefrom,volumeto
2018-03-02 13:00:00,0.8976,0.9055,0.897,0.9016,2018-03-02 13:00:00,1050776.11,946319.08
2018-03-02 14:00:00,0.8885,0.8983,0.8872,0.8976,2018-03-02 14:00:00,2875504.38,2560660.76
2018-03-02 15:00:00,0.8926,0.8937,0.8869,0.8885,2018-03-02 15:00:00,1073209.18,956717.57
2018-03-02 16:00:00,0.8931,0.895,0.8884,0.8926,2018-03-02 16:00:00,1146614.35,1023108.11
2018-03-02 17:00:00,0.8946,0.8946,0.8919,0.8931,2018-03-02 17:00:00,816159.56,728915.64
2018-03-02 18:00:00,0.8995,0.9008,0.8955,0.8955,2018-03-02 18:00:00,1147038.64,1030879.34
2018-03-02 19:00:00,0.8974,0.9001,0.8925,0.8995,2018-03-02 19:00:00,874104.03,783078.82
2018-03-02 20:00:00,0.9038,0.9065,0.8964,0.8973,2018-03-02 20:00:00,1677819.74,1511760.78
2018-03-02 21:00:00,0.9003,0.9047,0.8989,0.9039,2018-03-02 21:00:00,1156723.82,1042747.21
2018-03-02 22:00:00,0.9043,0.9051,0.8996,0.9006,2018-03-02 22:00:00,1147449.44,1035840.5
2018-03-02 23:00:00,0.8983,0.9051,0.8958,0.9043,2018-03-02 23:00:00,1771963.15,1595453.86
2018-03-03 00:00:00,0.9124,0.9135,0.8975,0.8983,2018-03-03 00:00:00,3187517.19,2885207.61
2018-03-03 01:00:00,0.9142,0.9158,0.9073,0.912,2018-03-03 01:00:00,2763955.1,2519914.43
2018-03-03 02:00:00,0.9102,0.9206,0.9096,0.9142,2018-03-03 02:00:00,4551284.13,4166813.83
2018-03-03 03:00:00,0.9101,0.9183,0.908,0.9102,2018-03-03 03:00:00,3582894.71,3271953.73
2018-03-03 04:00:00,0.9061,0.9103,0.9032,0.9101,2018-03-03 04:00:00,1440406.74,1304861.31
2018-03-03 05:00:00,0.9022,0.907,0.9007,0.9061,2018-03-03 05:00:00,1844082.34,1664420.57
2018-03-03 06:00:00,0.9021,0.9053,0.899,0.9022,2018-03-03 06:00:00,1967726.0,1772928.27
2018-03-03 07:00:00,0.9001,0.9022,0.8976,0.9021,2018-03-03 07:00:00,1050499.85,945113.5
2018-03-03 08:00:00,0.9015,0.9073,0.8953,0.9001,2018-03-03 08:00:00,1556874.08,1403337.61
2018-03-03 09:00:00,0.9,0.9016,0.8939,0.9015,2018-03-03 09:00:00,1569097.29,1408868.33
2018-03-03 10:00:00,0.9017,0.9044,0.8984,0.9,2018-03-03 10:00:00,667182.35,601350.39
2018-03-03 11:00:00,0.9059,0.9092,0.9014,0.9017,2018-03-03 11:00:00,1057228.34,958252.5
2018-03-03 12:00:00,0.9052,0.908,0.9049,0.9061,2018-03-03 12:00:00,734566.6,665747.02
2018-03-03 13:00:00,0.9105,0.9107,0.9033,0.9052,2018-03-03 13:00:00,1227409.49,1112245.66
2018-03-03 14:00:00,0.9033,0.9113,0.9027,0.9106,2018-03-03 14:00:00,996614.88,903843.69
2018-03-03 15:00:00,0.9022,0.9043,0.8997,0.9033,2018-03-03 15:00:00,1323879.19,1194075.36
2018-03-03 16:00:00,0.901,0.9055,0.9006,0.9025,2018-03-03 16:00:00,990006.88,893933.05
2018-03-03 17:00:00,0.9034,0.9045,0.8981,0.901,2018-03-03 17:00:00,3146090.37,2836285.67
2018-03-03 18:00:00,0.901,0.9035,0.8976,0.9034,2018-03-03 18:00:00,1644052.54,1483038.65
2018-03-03 19:00:00,0.897,0.9012,0.8963,0.901,2018-03-03 19:00:00,2676697.19,2409088.17
2018-03-03 20:00:00,0.8967,0.9,0.8914,0.897,2018-03-03 20:00:00,2531363.02,2267993.47
2018-03-03 21:00:00,0.8938,0.8967,0.8925,0.8967,2018-03-03 21:00:00,1613404.26,1445592.98
2018-03-03 22:00:00,0.8955,0.898,0.8914,0.8931,2018-03-03 22:00:00,1537418.0,1374217.42
